sense,sentence,centroid_cs
put.v.01,`` Failure to do this will continue to place a disproportionate burden '' on Fulton taxpayers .,0.686973577687944
put.v.01,"Five per cent of the voters in each county must sign petitions requesting that the Republicans be allowed to place names of candidates on the general election ballot , or The Republicans must hold a primary under the county unit system - a system which the party opposes in its platform .",0.7402141160162753
put.v.01,Heels place emphasis on the long legged silhouette .,0.6208699806164539
put.v.01,The speed is controlled by pressing on the two brake buttons located where the index finger and thumb are placed when holding the motor .,0.7675553259616907
put.v.01,"You will need a stereo music system , with speakers preferably placed at least seven or eight feet apart , and one or more of the new London `` Phase 4 '' records .",0.7871260449952477
put.v.01,It places terrific tension on the leg muscles from start to finish of each repetition .,0.6904971948051162
put.v.01,Place your Power Stands in position and adjust their height so that this will correspond to the height of your shoulders when you are in a deep leg split as for a heavy Clean .,0.815061393854982
put.v.01,Place a suitably loaded barbell across them ; grasp the bar ( which will rest against the back of your neck ) ; extend your feet forward and backward until you are in a deep leg split .,0.8159651156448013
put.v.01,"Like the recent Scheherazade from London ( High Fidelity , Sept. 1961 ) , it is successful because emphasis has been placed on good musical and engineering practices rather than on creating sensational effects .",0.6761126506383576
put.v.01,"Just as the national and state parks place emphasis on features which are of national or state significance , counties should seek out these features which are distinctive of their area .",0.711391007384575
put.v.01,"It should be installed over a door that is in full view of everyone , and a chair should be placed under it , a little to one side .",0.8224448096352054
put.v.01,Care should be taken to see that the hands are placed on the floor before the kick starts and also that the landing foot is brought as close to the hands as possible .,0.8302208847891808
put.v.01,"Place flat palms on either side of the head a few inches away from the ears , fingers pointing toward the shoulders .",0.7849803713965946
put.v.01,Place the hands in front of the chest .,0.7768487747109711
put.v.01,"He places the hands on either side of the head , keeping the chin down on the chest .",0.6168593783479406
put.v.01,Three thermocouples were placed at different locations in the aluminum disk surrounding the anode holder to determine its temperature .,0.8293260463428783
put.v.01,There is a small well in the top in which the fluid or paste to be tested is placed .,0.8232529950155845
put.v.01,"If the **f bond is linear then there are three reasonable positions for the hydrogen atoms : ( 1 ) The hydrogen atoms are centered and hence all lie on a sheet midway between the oxygen sheets ; ( 2 ) all hydrogen atoms lie on a sheet , but the sheet is closer to one oxygen sheet than to the other ; ( 3 ) hydrogen atoms are asymmetrically placed , either randomly or in an ordered way , so that some hydrogen atoms are closer to the upper oxygen atoms while others are closer to the lower oxygen atoms .",0.7590136453713153
put.v.01,After dialysis the sample was centrifuged and the supernatant placed on a * * f cm column of DEAE-cellulose equilibrated with starting buffer .,0.8168280710157222
put.v.01,The sections were then thawed by placing a finger under the slide and dried under a fan for 30 minutes ; until used they were stored for as long as 2 weeks .,0.7394353124214944
put.v.01,The concentration and apparent localization of the WTV antigen in pseudophloem tissue of the tumor may indicate that the virus preferentially multiplies in the phloem and may need to be directly placed in this tissue in order to infect plants .,0.7599698359608885
put.v.01,Our technical assistance to these countries should place special emphasis on inducing the central governments to assume the role of advisor and guide which at an earlier stage foreign experts assumed in dealing with the central governments .,0.6740958223450518
put.v.01,It places certain values at least beyond questioning and tampering .,0.6945976806318148
put.v.01,"( 1 ) When an object was placed in the patient 's hand , he had no difficulty determining whether it was warm or cold , sharp or blunt , rough or smooth , flexible , soft , or hard ; and he could tell , simply by the feel of it , whether it was made of wood , iron , cloth , rubber , and so on .",0.7995892203390528
put.v.01,"These areas by virtue of their abrupt density of pattern , stated the literal surface with such new and superior force that the resulting contrast drove the simulated printing into a depth from which it could be rescued - and set to shuttling again - only by conventional perspective ; that is , by being placed in such relation to the forms depicted within the illusion that these forms left no room for the typography except near the surface .",0.8053057360670274
